Empreendimento,Unidade,Tipo,Área Privativa (m²),Situação,Valor VGV,Valor m²,Chave
ROYAL BAY,Apto. 3401,3S,"132,14",Vendida,"R$ 2.164.679,38","R$ 16.381,71",
PARADISE BAY,Apto 1106,3S,"81,1",Vendida,"R$ 1.004.396,39","R$ 12.384,67",
PARADISE BAY,Apto 1503,3S,"81,14",Vendida,"R$ 1.084.562,46","R$ 13.366,56",
PARADISE BAY,Apto 2405,3S,"81,53",Vendida,"R$ 1.113.722,52","R$ 13.660,28",
ROYAL BAY,Apto. 3803,3S,"132,52",Vendida,"R$ 2.226.153,36","R$ 16.798,62",
ROYAL BAY,Apto. 2703,3S,"132,52",Vendida,"R$ 2.048.619,51","R$ 15.458,95",
ROYAL BAY,Apto. 2601,3S,"132,14",Vendida,"R$ 2.152.789,73","R$ 16.291,73",
ROYAL BAY,Apto. 2901,3S,"132,14",Vendida,"R$ 2.072.592,95","R$ 15.684,83",
PARADISE BAY,Apto 1705,3S,"81,53",Vendida,"R$ 1.053.592,73","R$ 12.922,76",
ROYAL BAY,Apto. 3002,3S,"138,06",Vendida,"R$ 2.326.211,76","R$ 16.849,28",
PARADISE BAY,Apto 1202,3S,"122,21",Vendida,"R$ 1.644.522,67","R$ 13.456,53",
ROYAL BAY,Apto. 2302,3S,"138,06",Vendida,"R$ 2.054.920,00","R$ 14.884,25",
ROYAL BAY,Apto. 2602,3S,"138,06",Vendida,"R$ 2.191.720,04","R$ 15.875,13",
PARADISE BAY,Apto 1302,3S,"122,21",Vendida,"R$ 1.678.644,96","R$ 13.735,74",
ROYAL BAY,Apto. 2902,3S,"138,06",Vendida,"R$ 2.377.936,69","R$ 17.223,94",
SUNNY ISLAND,Apto 2502,3S,"122,79",Vendida,"R$ 1.926.854,53","R$ 15.692,28",
ROYAL BAY,Apto. 2401,3S,"132,14",Vendida,"R$ 2.022.322,63","R$ 15.304,39",
ROYAL BAY,Apto. 2402,3S,"138,06",Vendida,"R$ 2.130.870,27","R$ 15.434,38",
ROYAL BAY,Apto. 2702,3S,"138,06",Vendida,"R$ 2.228.204,96","R$ 16.139,40",
PARADISE BAY,Apto 1101,3S,"123,48",Vendida,"R$ 1.704.676,76","R$ 13.805,29",
PARADISE BAY,Apto 1102,3S,"122,21",Vendida,"R$ 1.613.013,03","R$ 13.198,70",
PARADISE BAY,Apto 1301,3S,"123,48",Vendida,"R$ 1.764.747,60","R$ 14.291,77",
ROYAL BAY,Apto. 2802,3S,"138,06",Vendida,"R$ 2.257.964,78","R$ 16.354,95",
OCEAN PARK,Apto 1904 S,3S,"82,29",Vendida,"R$ 1.022.724,96","R$ 12.428,30",
ROYAL BAY,Apto. 3703,3S,"132,52",Vendida,"R$ 2.207.647,29","R$ 16.658,97",
PARADISE BAY,Apto 901,3S,"123,48",Vendida,"R$ 1.644.247,63","R$ 13.315,90",
